iter	Passed	Remaining
0	5	5462
1	10	5325
2	16	5367
3	21	5272
4	26	5205
5	31	5193
6	36	5160
7	41	5121
8	46	5087
9	51	5068
10	56	5053
11	61	5103
12	67	5137
13	72	5115
14	77	5094
15	82	5070
16	87	5051
17	92	5041
18	97	5027
19	102	5015
20	107	5019
21	114	5104
22	120	5135
23	126	5144
24	131	5145
25	137	5145
26	142	5152
27	149	5187
28	156	5226
29	162	5250
30	168	5282
31	176	5326
32	182	5353
33	190	5413
34	196	5429
35	204	5468
36	210	5468
37	215	5468
38	221	5468
39	227	5464
40	233	5462
41	239	5459
42	245	5455
43	251	5454
44	256	5451
45	262	5448
46	268	5443
47	274	5438
48	280	5436
49	286	5434
50	291	5428
51	297	5427
52	303	5424
53	309	5423
54	315	5424
55	321	5418
56	327	5421
57	333	5417
58	339	5415
59	345	5418
60	351	5414
61	357	5413
62	363	5407
63	369	5403
64	375	5400
65	381	5395
66	387	5392
67	393	5389
68	398	5383
69	405	5386
70	411	5382
71	417	5378
72	423	5373
73	429	5368
74	435	5366
75	440	5361
76	446	5356
77	453	5355
78	458	5350
79	466	5360
80	471	5354
81	477	5349
82	483	5344
83	489	5339
84	495	5333
85	501	5327
86	507	5322
87	512	5315
88	518	5310
89	524	5307
90	530	5301
91	536	5295
92	542	5290
93	548	5284
94	554	5278
95	559	5272
96	565	5266
97	572	5264
98	578	5264
99	585	5266
100	591	5268
101	597	5262
102	604	5266
103	611	5270
104	617	5265
105	623	5260
106	629	5254
107	636	5258
108	642	5255
109	649	5251
110	655	5246
111	661	5241
112	666	5234
113	672	5230
114	679	5226
115	685	5225
116	691	5219
117	697	5216
118	703	5211
119	709	5205
120	715	5200
121	721	5194
122	727	5189
123	733	5185
124	740	5180
125	745	5174
126	751	5168
127	757	5162
128	763	5157
129	769	5151
130	775	5144
131	782	5144
132	789	5148
133	797	5155
134	805	5164
135	812	5161
136	819	5164
137	826	5160
138	832	5155
139	838	5149
140	844	5142
141	850	5140
142	856	5133
143	862	5127
144	868	5120
145	874	5115
146	880	5110
147	886	5104
148	892	5099
149	898	5093
150	904	5086
151	910	5080
152	916	5073
153	922	5065
154	928	5059
155	933	5053
156	939	5046
157	945	5039
158	951	5033
159	957	5027
160	963	5020
161	969	5014
162	975	5007
163	981	5001
164	988	5003
165	995	5003
166	1002	5002
167	1010	5002
168	1015	4995
169	1022	4990
170	1031	4999
171	1038	4999
172	1046	5004
173	1054	5007
174	1062	5010
175	1070	5009
176	1076	5004
177	1082	4999
178	1088	4994
179	1094	4987
180	1100	4981
181	1106	4975
182	1112	4968
183	1118	4961
184	1124	4956
185	1130	4949
186	1136	4942
187	1142	4934
188	1148	4927
189	1154	4921
190	1160	4914
191	1166	4908
192	1172	4901
193	1178	4895
194	1184	4890
195	1190	4883
196	1196	4875
197	1202	4870
198	1208	4864
199	1214	4857
200	1220	4850
201	1226	4843
202	1232	4840
203	1240	4840
204	1247	4836
205	1253	4833
206	1260	4828
207	1266	4822
208	1272	4816
209	1278	4810
210	1285	4807
211	1292	4804
212	1298	4797
213	1304	4791
214	1310	4785
215	1316	4778
216	1322	4770
217	1328	4764
218	1334	4758
219	1340	4751
220	1346	4744
221	1351	4738
222	1357	4731
223	1363	4724
224	1369	4717
225	1375	4710
226	1382	4709
227	1390	4707
228	1396	4703
229	1404	4701
230	1409	4693
231	1416	4688
232	1422	4681
233	1429	4678
234	1434	4671
235	1440	4664
236	1446	4657
237	1452	4650
238	1458	4643
239	1464	4636
240	1469	4629
241	1476	4624
242	1482	4618
243	1488	4611
244	1494	4604
245	1500	4597
246	1506	4591
247	1512	4584
248	1517	4577
249	1525	4575
250	1531	4570
251	1537	4562
252	1543	4557
253	1549	4551
254	1555	4544
255	1562	4540
256	1568	4533
257	1574	4527
258	1580	4520
259	1586	4514
260	1592	4509
261	1598	4502
262	1606	4501
263	1612	4494
264	1618	4488
265	1624	4482
266	1630	4475
267	1635	4468
268	1641	4461
269	1647	4454
270	1653	4448
271	1659	4441
272	1665	4435
273	1671	4428
274	1677	4421
275	1682	4414
276	1688	4408
277	1694	4401
278	1700	4395
279	1706	4388
280	1712	4381
281	1718	4376
282	1724	4370
283	1730	4363
284	1736	4356
285	1742	4349
286	1748	4343
287	1754	4336
288	1759	4329
289	1766	4324
290	1771	4317
291	1778	4311
292	1783	4303
293	1788	4295
294	1794	4287
295	1798	4278
296	1803	4269
297	1808	4261
298	1813	4252
299	1818	4243
300	1823	4233
301	1827	4224
302	1832	4214
303	1836	4203
304	1840	4194
305	1845	4185
306	1849	4175
307	1854	4166
308	1858	4156
309	1863	4147
310	1867	4138
311	1872	4128
312	1876	4119
313	1881	4110
314	1887	4104
315	1891	4094
